player,team,shots,goals,xg,passes,assists,yellow_cards,red_cards
Carlos Alberto Rodríguez Gómez,Mexico,0,0,0.0,29,0,0,0
Cameron Carter-Vickers,United States,0,0,0.0,55,0,0,0
Callum Wilson,England,0,0,0.0,12,1,0,0
Bryan Ruiz González,Costa Rica,0,0,0.0,13,0,0,0
Bryan Oviedo,Costa Rica,0,0,0.0,89,0,0,0
Bryan Mbeumo,Cameroon,2,0,0.134345962,81,0,0,0
Bruno Guimarães Rodriguez Moura,Brazil,5,0,0.64781192,55,0,1,0
Brennan Johnson,Wales,3,0,0.124267868,18,0,0,0
Brenden Aaronson,United States,1,0,0.09428854,48,0,0,0
José Diogo Dalot Teixeira,Portugal,1,0,0.036435805,142,1,0,0
José Andrés Guardado Hernández,Mexico,0,0,0.0,16,0,0,0
José Adoni Cifuentes Charcopa,Ecuador,1,0,0.025271386,43,0,0,0
Kang-In Lee,South Korea,5,0,0.117975209,77,1,1,0
Kamil Grosicki,Poland,0,0,0.0,6,0,0,0
Kamil Glik,Poland,3,0,0.150632187,130,0,0,0
Kamaldeen Sulemana,Ghana,1,0,0.081227794,20,0,1,0
Kamal Miller,Canada,0,0,0.0,199,0,0,0
Kalvin Phillips,England,0,0,0.0,19,1,0,0
Jurriën David Norman Timber,Netherlands,0,0,0.0,316,0,0,0
Junya Ito,Japan,2,0,0.11059656,98,1,0,0
Jun-Ho Son,South Korea,0,0,0.0,61,0,0,0
Jules Olivier Ntcham,Cameroon,1,0,0.03332142,12,0,0,0
Jules Koundé,France,4,0,0.16960582600000002,308,0,1,0
Juan Pablo Vargas Campos,Costa Rica,1,0,0.18427365,28,0,0,0
Juan Marcos Foyth,Argentina,0,0,0.0,4,0,0,0
João Pedro Cavaco Cancelo,Portugal,2,0,0.054823571,269,0,0,0
João Mário Naval da Costa Eduardo,Portugal,0,0,0.0,40,0,0,0
João Maria Lobo Alves Palhinha Gonçalves,Portugal,1,0,0.021024177,30,0,0,0
Kieffer Roberto Francisco Moore,Wales,6,0,0.6403291090000001,60,0,0,0
Keylor Navas Gamboa,Costa Rica,0,0,0.0,101,0,0,0
Kevin Nahin Álvarez Campos,Mexico,0,0,0.0,24,0,0,0
Kevin José Rodríguez Cortez,Ecuador,1,0,0.13848205,1,0,0,0
Kevin De Bruyne,Belgium,7,0,0.1779663248,140,0,0,0
Kenneth Taylor,Netherlands,0,0,0.0,9,0,0,0
Kendall Jamaal Waston Manley,Costa Rica,1,0,0.099276,77,0,0,0
Kellyn Kai Perry-Acosta,United States,0,0,0.0,12,0,1,0
Keanu Baccus,Australia,1,0,0.035468098,40,0,0,0
Kasper Schmeichel,Denmark,0,0,0.0,87,0,0,0
Kasper Dolberg,Denmark,4,0,0.511986249,18,0,0,0
Karol Świderski,Poland,0,0,0.0,8,0,0,0
Karl Brillant Toko Ekambi,Cameroon,2,0,0.1803258,52,0,0,0
Karim Boudiaf,Qatar,0,0,0.0,107,0,1,0
Karim Ansarifard,Iran,1,0,0.06399969,6,0,0,0
Kaoru Mitoma,Japan,2,0,0.837634306,73,1,0,0
Lisandro Martínez,Argentina,1,0,0.33156127,154,0,0,0
Liam Millar,Canada,0,0,0.0,9,0,0,0
Leroy Sané,Germany,3,0,0.18344245,56,1,0,0
Leon Goretzka,Germany,4,0,0.46069595,59,0,1,0
Leandro Trossard,Belgium,0,0,0.0,57,0,0,0
Leander Dendoncker,Belgium,1,0,0.08894938,119,0,1,0
Lawrence Ati-Zigi,Ghana,0,0,0.0,76,0,0,0
Kyung-Won Kwon,South Korea,1,0,0.005484339,43,0,0,0
Kyle Walker,England,0,0,0.0,177,0,0,0
Kye Rowles,Australia,0,0,0.0,195,0,0,0
Krépin Diatta,Senegal,3,0,0.128994183,76,0,0,0
Krzysztof Piątek,Poland,1,0,0.02819521,6,0,0,0
Krystian Bielik,Poland,2,0,0.136828873,98,0,0,0
Ko Itakura,Japan,3,0,0.162244075,111,1,2,0
Kingsley Coman,France,2,0,0.8713631399999999,70,0,0,0
Kieran Trippier,England,1,0,0.042866398,195,0,0,0
Lucas Hernández Pi,France,0,0,0.0,10,0,0,0
Brandon Aguilera Zamora,Costa Rica,0,0,0.0,35,0,0,0
Boualem Khoukhi,Qatar,0,0,0.0,194,0,0,0
Borna Sosa,Croatia,2,0,0.048374664,276,0,0,0
Borna Barišić,Croatia,1,0,0.015196718,67,0,1,0
Bilal El Khannous,Morocco,0,0,0.0,24,0,0,0
Bernardo Mota Veiga de Carvalho e Silva,Portugal,1,0,0.10927713,292,0,0,0
Benjamin Pavard,France,0,0,0.0,88,0,0,0
Ben Davies,Wales,3,0,0.384204745,160,0,0,0
Bassam Hisham Al Rawi,Qatar,0,0,0.0,57,0,0,0
Bartosz Bereszyński,Poland,0,0,0.0,150,0,1,0
Bailey Wright,Australia,0,0,0.0,4,0,0,0
Badr Banoun,Morocco,1,0,0.7835,21,0,0,0
Aïssa Bilal Laïdouni,Tunisia,2,0,0.08097828400000001,119,1,1,0
Azzedine Ounahi,Morocco,6,0,0.244700479,267,0,0,0
Lucas Daniel Cavallini,Canada,0,0,0.0,3,0,0,0
Mason Mount,England,4,0,0.18183271299999998,74,0,0,0
Martin Hongla Yma II,Cameroon,1,0,0.08237888,64,0,0,0
Martin Braithwaite Christensen,Denmark,1,0,0.23786028,19,0,0,0
Marten de Roon,Netherlands,0,0,0.0,122,0,0,0
Marko Grujić,Serbia,1,0,0.027356416,17,0,0,0
Mark Anthony Kaye,Canada,1,0,0.038882375,57,0,0,0
Mario Götze,Germany,1,0,0.066507556,16,0,0,0
Marcus Thuram,France,1,0,0.115658596,45,2,1,0
Marcos Llorente Moreno,Spain,1,0,0.024551911,104,0,0,0
Marcos Javier Acuña,Argentina,2,0,0.076122072,217,0,3,0
Marcos Aoás Corrêa,Brazil,2,0,0.86164184,359,0,1,0
Manuel Neuer,Germany,0,0,0.0,123,0,0,0
Luke Shaw,England,3,0,0.084394449,402,1,0,0
Lukas Klostermann,Germany,0,0,0.0,47,0,0,0
Luka Jović,Serbia,2,0,0.05817553,10,0,0,0
Luis Alberto Suárez Díaz,Uruguay,2,0,0.361762436,40,1,0,0
Meshaal Aissa Barsham,Qatar,0,0,0.0,63,0,0,0
Mehdi Torabi,Iran,2,0,0.09684943,37,0,0,0
Maya Yoshida,Japan,1,0,0.7835,227,0,1,0
Maximiliano Gómez González,Uruguay,2,0,0.077775581,7,0,0,0
Matías Vecino Falero,Uruguay,1,0,0.052239094,103,0,0,0
Matías Nicolás Viña Susperreguy,Uruguay,0,0,0.0,20,0,0,0
Mattéo Guendouzi Olié,France,0,0,0.0,32,0,0,0
Matty Cash,Poland,1,0,0.023505978,156,0,2,0
Matthijs de Ligt,Netherlands,0,0,0.0,45,0,1,0
Matthias Ginter,Germany,0,0,0.0,3,0,0,0
Matthew Charles Turner,United States,0,0,0.0,126,0,0,0
Mathías Olivera Miramontes,Uruguay,2,0,0.08097578899999999,133,0,0,0
Mathias Jensen,Denmark,2,0,0.048329171000000004,68,0,1,0
Mathew Ryan,Australia,0,0,0.0,163,0,0,0
Matheus Luiz Nunes,Portugal,1,0,0.007849269,33,0,0,0
Mateo Kovačić,Croatia,3,0,0.34514701999999997,456,0,1,0
Aziz Eraltay Behich,Australia,2,0,0.126898918,204,0,1,0
Aymeric Laporte,Spain,1,0,0.04145577,429,0,1,0
Aymen Dahmen,Tunisia,0,0,0.0,77,0,0,0
Ayase Ueda,Japan,0,0,0.0,11,0,0,0
Axel Witsel,Belgium,1,0,0.025340356,176,0,0,0
Axel Disasi,France,1,0,0.061025612,75,0,0,0
Awer Denis Bul Mabil,Australia,0,0,0.0,14,0,0,0
Atiba Hutchinson,Canada,2,0,0.133220574,112,0,0,0
Assim Omer Al Haj Madibo,Qatar,0,0,0.0,71,0,1,0
Artur Jędrzejczyk,Poland,0,0,0.0,5,0,0,0
Arkadiusz Milik,Poland,1,0,0.13519733,33,0,1,0
Ardon Jashari,Switzerland,0,0,0.0,6,0,0,0
António João Pereira Albuquerque Tavares Silva,Portugal,0,0,0.0,58,0,0,0
Antony Matheus dos Santos,Brazil,6,0,0.1545435,113,0,0,0
Michał Skóraś,Poland,1,0,0.026707038,9,0,0,0
Michael Steveen Estrada Martínez,Ecuador,3,0,0.246376532,43,0,0,0
Montassar Omar Talbi,Tunisia,1,0,0.012159805,133,0,0,0
Mohammed Waed Abdulwahhab Al Bayati,Qatar,0,0,0.0,12,0,0,0
Mohammed Khalil Al Owais,Saudi Arabia,0,0,0.0,98,0,0,0
Mohammed Kanoo,Saudi Arabia,6,0,0.319447288,145,0,0,0
Mohammed Al Burayk,Saudi Arabia,2,0,0.36966906099999997,48,0,0,0
Mohammad Hossein Kanani Zadegan,Iran,0,0,0.0,11,0,0,0
Mohamed Dräger,Tunisia,4,0,0.303584759,51,0,0,0
Mohamed Ali Ben Romdhane,Tunisia,0,0,0.0,19,0,0,0
Min Jae Kim,South Korea,2,0,0.105906885,187,0,0,0
Miloš Degenek,Australia,0,0,0.0,97,0,2,0
Milos Veljkovic,Serbia,0,0,0.0,112,0,0,0
Milan Borjan,Canada,0,0,0.0,96,0,0,0
Milad Mohammadi,Iran,0,0,0.0,66,0,0,0
Mikkel Damsgaard,Denmark,0,0,0.0,71,0,0,0
Miki Yamane,Japan,0,0,0.0,33,0,1,0
Michel Aebischer,Switzerland,0,0,0.0,4,0,0,0
Nemanja Radonjić,Serbia,2,0,0.051502228,23,0,0,0
Nemanja Maksimović,Serbia,0,0,0.0,57,0,0,0
Nemanja Gudelj,Serbia,0,0,0.0,55,0,2,0
Neco Williams,Wales,3,0,0.07557114100000001,97,0,0,0
Naïm Sliti,Tunisia,1,0,0.1403044,50,0,0,0
Nayef Aguerd,Morocco,1,0,0.25141555,154,0,0,0
Nawaf Shaker Al Abid,Saudi Arabia,2,0,0.106110047,38,0,0,0
Nathaniel Atkinson,Australia,0,0,0.0,37,0,0,0
Nathan Aké,Netherlands,0,0,0.0,352,0,1,0
Nasser Al Dawsari,Saudi Arabia,0,0,0.0,10,0,0,0
Nampalys Mendy,Senegal,2,0,0.09337050799999999,162,0,1,0
Nader Ghandri,Tunisia,0,0,0.0,30,0,0,0
Munir Mohand Mohamedi,Morocco,0,0,0.0,27,0,0,0
Mosaab Khoder Jibril,Qatar,0,0,0.0,3,0,0,0
Morteza Pouraliganji,Iran,2,0,0.26883789,128,0,1,0
Moon-Hwan Kim,South Korea,0,0,0.0,242,0,0,0
Noussair Mazraoui,Morocco,4,0,0.151342469,121,0,0,0
Nouhou Tolo,Cameroon,0,0,0.0,106,0,1,0
Noah Okafor,Switzerland,1,0,0.032096077,21,0,0,0
Noa Lang,Netherlands,0,0,0.0,3,0,0,0
Nikola Milenković,Serbia,3,0,0.123164077,157,0,1,0
Niklas Süle,Germany,1,0,0.07610536,252,0,0,0
Nicolás Hernán Otamendi,Argentina,1,0,0.048093256,565,1,0,0
Nicolás Alejandro Tagliafico,Argentina,3,0,0.9122210500000001,182,0,0,0
Nicolas Moumi Ngamaleu,Cameroon,0,0,0.0,24,0,0,0
Nicolas Jackson,Senegal,0,0,0.0,10,0,0,0
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,3,0,0.382484566,93,0,1,0
Nicola Zalewski,Poland,0,0,0.0,18,0,0,0
Nico Schlotterbeck,Germany,0,0,0.0,123,0,0,0
Nico Elvedi,Switzerland,1,0,0.19001445,141,0,1,0
Nicholas Williams Arthuer,Spain,0,0,0.0,62,0,0,0
Ngoran Suiru Fai Collins,Cameroon,1,0,0.009452554,152,0,2,0
Andries Noppert,Netherlands,0,0,0.0,191,0,0,0
Philip Foden,England,1,0,0.022691524,61,1,0,0
Pervis Josué Estupiñán Tenorio,Ecuador,2,0,0.27007267,187,0,0,0
Pedro Miguel Correia,Qatar,2,0,0.037067295,115,0,0,0
Pedro González López,Spain,0,0,0.0,426,0,0,0
Pau Francisco Torres,Spain,0,0,0.0,190,0,0,0
Pathé Ismaël Ciss,Senegal,1,0,0.03057826,60,0,1,0
Pape Matar Sarr,Senegal,4,0,0.08593205500000001,47,0,0,0
Pape Gueye,Senegal,4,0,0.094318055,61,0,0,0
Pape Abou Cissé,Senegal,0,0,0.0,38,0,0,0
Pablo Sarabia García,Spain,2,0,0.88757615,5,0,0,0
Ousmane Dembélé,France,8,0,0.362467341,191,2,1,0
Otávio Edmilson da Silva Monteiro,Portugal,3,0,0.1035403,131,0,0,0
Orbelín Pineda Alvarado,Mexico,4,0,0.505017774,26,0,0,0
Néstor Alejandro Araújo Razo,Mexico,0,0,0.0,56,0,1,0
Nuno Mendes,Portugal,0,0,0.0,34,0,0,0
Pierre-Emile Højbjerg,Denmark,2,0,0.023862642,224,0,0,0
Pierre Kunde Malong,Cameroon,5,0,0.187109743,51,0,1,0
Piero Martín Hincapié Reyna,Ecuador,0,0,0.0,199,0,0,0
Antonio Rüdiger,Germany,6,0,0.6597156827,247,0,0,0
Antonee Robinson,United States,0,0,0.0,240,0,0,0
Antoine Semenyo,Ghana,1,0,0.12024433,3,0,0,0
Antoine Griezmann,France,6,0,0.49632007100000003,323,3,1,0
Anthony Daniel Contreras Enríquez,Costa Rica,0,0,0.0,25,0,1,0
Ante Budimir,Croatia,1,0,0.10111922,6,0,0,0
Anssumane Fati,Spain,0,0,0.0,28,0,0,0
Anis Ben Slimane,Tunisia,1,0,0.1007914,49,0,0,0
Angelo Smit Preciado Quiñónez,Ecuador,4,0,0.0708458504,129,1,0,0
André-Frank Zambo Anguissa,Cameroon,1,0,0.046351306,134,0,0,0
André Onana,Cameroon,0,0,0.0,60,0,0,0
André Miguel Valente Silva,Portugal,0,0,0.0,11,0,0,0
Andrija Živković,Serbia,1,0,0.030001678,99,2,0,0
Rodrigo Javier De Paul,Argentina,7,0,0.570042511,563,0,0,0
Rodrigo Hernández Cascante,Spain,1,0,0.0056476467,679,0,0,0
Rodrigo Bentancur Colmán,Uruguay,3,0,0.620971297,158,0,1,0
Roberto Carlos Alvarado Hernández,Mexico,0,0,0.0,11,0,1,0
Robert Skov,Denmark,0,0,0.0,21,0,1,0
Roan Roberto Wilson Gordon,Costa Rica,0,0,0.0,6,0,0,0
Riyadh Sharahili,Saudi Arabia,0,0,0.0,19,0,0,0
Riley McGree,Australia,3,0,0.08010532199999999,73,1,0,0
Richie Laryea,Canada,2,0,0.056640564,45,0,0,0
Ricardo Iván Rodríguez Araya,Switzerland,0,0,0.0,227,0,0,0
Renato Steffen,Switzerland,0,0,0.0,13,0,0,0
Raúl Alonso Jiménez Rodríguez,Mexico,0,0,0.0,32,0,0,0
Rasmus Nissen Kristensen,Denmark,0,0,0.0,178,0,1,0
Raphaël Varane,France,3,0,0.26440085,280,0,0,0
Raphael Dias Belloli,Brazil,8,0,0.922930661,150,0,0,0
Przemysław Frankowski,Poland,1,0,0.043646414,73,0,1,0
Andreas Skov Olsen,Denmark,4,0,0.311829907,62,0,0,0
Andreas Evald Cornelius,Denmark,5,0,0.801507865,32,0,1,0
Anass Zaroury,Morocco,0,0,0.0,12,0,0,0
Amadou Onana,Belgium,2,0,0.29186468,63,0,2,0
Almoez Ali Zainalabiddin Abdulla,Qatar,3,0,0.483816448,46,0,1,0
Alistair Johnston,Canada,2,0,0.672354974,187,0,1,0
Alisson Ramsés Becker,Brazil,0,0,0.0,94,0,0,0
Alireza Safar Beiranvand,Iran,0,0,0.0,31,0,0,0
Alireza Jahanbakhsh,Iran,3,0,0.154904189,16,0,2,0
Alidu Seidu,Ghana,1,0,0.015372672,75,0,2,0
Ali Maâloul,Tunisia,0,0,0.0,61,0,0,0
Ali Karimi,Iran,0,0,0.0,45,0,0,0
Ali Gholizadeh,Iran,1,0,0.04282673,73,1,0,0
Ali Assadalla Thaimn Qambar,Qatar,0,0,0.0,23,0,0,0
Rogelio Gabriel Funes Mori,Mexico,1,0,0.06664524,0,0,0,0
Rodrygo Silva de Goes,Brazil,7,0,1.245341896,112,1,0,0
Samuel Yves Oum Gwet,Cameroon,0,0,0.0,57,0,0,0
Sami Khalil Al Naji,Saudi Arabia,0,0,0.0,21,0,0,0
Saman Ghoddos,Iran,1,0,0.39133456,21,0,0,0
Sam Adekugbe,Canada,0,0,0.0,72,0,1,0
Salman Mohammed Al Faraj,Saudi Arabia,0,0,0.0,15,0,0,0
Salis Abdul Samed,Ghana,1,0,0.026676558,142,0,0,0
Saeid Ezatolahi Afagh,Iran,3,0,0.0612828607,93,0,0,0
Sadegh Moharrami,Iran,0,0,0.0,26,0,0,0
Saad Abdullah Al Sheeb,Qatar,0,0,0.0,21,0,1,0
Rúben Santos Gato Alves Dias,Portugal,1,0,0.03750256,266,0,0,0
Rúben Diogo Da Silva Neves,Portugal,2,0,0.087037176,259,0,1,0
Rubin Colwill,Wales,1,0,0.025066664,4,0,0,0
Ruben Vargas,Switzerland,3,0,0.29582627899999997,114,1,1,0
Ronald Alberto Matarrita Ulate,Costa Rica,0,0,0.0,29,0,0,0
Romelu Lukaku Menama,Belgium,5,0,1.68415473,9,0,0,0
Romario Andrés Ibarra Mina,Ecuador,2,0,0.136638454,16,0,0,0
Shūichi Gonda,Japan,0,0,0.0,113,0,0,0
Shogo Taniguchi,Japan,2,0,0.17448755,86,0,1,0
Shaquell Moore,United States,0,0,0.0,21,0,0,0
Seyed Majid Hosseini,Iran,0,0,0.0,108,0,1,0
Seyed Hossein Hosseini,Iran,0,0,0.0,48,0,0,0
Seung-Gyu Kim,South Korea,0,0,0.0,128,0,0,0
Sergio Rochet Álvarez,Uruguay,0,0,0.0,76,0,0,0
Sergio Busquets i Burgos,Spain,3,0,0.88711582,290,0,1,0
Sergino Dest,United States,6,0,0.2518676686,201,1,1,0
Selim Amallah,Morocco,2,0,0.11463773599999999,88,0,0,0
Sebastián Coates Nión,Uruguay,1,0,0.103292696,97,0,1,0
Sebastian Szymański,Poland,0,0,0.0,40,0,0,0
Saša Lukić,Serbia,1,0,0.039666813,162,0,1,0
Saud Abdullah Abdul Hamid,Saudi Arabia,1,0,0.005913877,119,0,1,0
Sardar Azmoun,Iran,5,0,0.960581323,32,0,0,0
Sang-Ho Na,South Korea,1,0,0.05996953,38,0,0,0
Takefusa Kubo,Japan,0,0,0.0,13,0,0,0
Tajon Buchanan,Canada,5,0,0.714270153,88,1,1,0
Taha Yassine Khenissi,Tunisia,1,0,0.012915949,3,0,1,0
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,2,0,0.244814519,55,0,0,0
Steven de Sousa Vitoria,Canada,0,0,0.0,183,0,1,0
Steven Bergwijn,Netherlands,2,0,0.33993796000000004,71,0,0,0
Steven Berghuis,Netherlands,6,0,0.975530951,128,1,0,0
Steve Mandanda,France,0,0,0.0,31,0,0,0
Stephen Antunes Eustáquio,Canada,3,0,0.164512644,93,0,0,0
Stefan Mitrović,Serbia,0,0,0.0,19,0,0,0
Srđan Babić,Serbia,0,0,0.0,15,0,0,0
Sorba Thomas,Wales,0,0,0.0,4,0,0,0
Sofyan Amrabat,Morocco,1,0,0.020691318,323,0,1,0
Sofiane Boufal,Morocco,7,0,0.31647403,134,0,1,0
Simon Thorup Kjær,Denmark,0,0,0.0,55,0,0,0
Silvan Widmer,Switzerland,1,0,0.05117428,164,1,1,0
Toby Alderweireld,Belgium,0,0,0.0,267,1,0,0
Timothy Castagne,Belgium,0,0,0.0,201,0,0,0
Tim Ream,United States,1,0,0.2582279,270,0,1,0
Thorgan Hazard,Belgium,0,0,0.0,59,0,0,0
Thomas Teye Partey,Ghana,2,0,0.23574545500000002,181,0,0,0
Thomas Müller,Germany,3,0,0.270048914,72,0,0,0
Thomas Meunier,Belgium,3,0,0.119195924,142,0,1,0
Thomas Delaney,Denmark,0,0,0.0,31,0,0,0
Thilo Kehrer,Germany,0,0,0.0,28,0,1,0
Thibaut Courtois,Belgium,0,0,0.0,122,0,0,0
Thiago Ezequiel Almada,Argentina,0,0,0.0,13,0,0,0
Thiago Emiliano da Silva,Brazil,2,0,0.20821556000000002,335,1,0,0
Tariq Lamptey,Ghana,1,0,0.07450179,33,0,1,0
Tarek Salman Salman,Qatar,0,0,0.0,11,0,0,0
Takumi Minamino,Japan,3,0,0.8339613109999999,24,0,0,0
Takehiro Tomiyasu,Japan,0,0,0.0,98,0,0,0
Weverton Pereira da Silva,Brazil,0,0,0.0,5,0,0,0
Weston McKennie,United States,5,0,0.37566194999999997,146,0,1,0
Wayne Hennessey,Wales,0,0,0.0,66,0,0,1
Wataru Endo,Japan,6,0,0.181400907,187,0,1,0
Walker Zimmerman,United States,1,0,0.05674074,233,0,0,0
Walid Cheddira,Morocco,2,0,0.249388745,8,0,1,1
Wajdi Kechrida,Tunisia,0,0,0.0,66,0,1,0
Vitor Machado Ferreira,Portugal,2,0,0.053871288999999996,109,0,1,0
Virgil van Dijk,Netherlands,4,0,0.977948796,343,0,0,0
Vincent Janssen,Netherlands,2,0,0.15551722,20,0,0,0
Victor Nelsson,Denmark,0,0,0.0,72,0,0,0
Vanja Milinković Savić,Serbia,0,0,0.0,127,0,0,0
Unai Simón Mendibil,Spain,0,0,0.0,158,0,0,0
Ui-Jo Hwang,South Korea,1,0,0.323128,11,0,0,0
Tyler Adams,United States,1,0,0.019808901,269,0,1,0
Trent Alexander-Arnold,England,0,0,0.0,23,0,0,0
Youssoufa Moukoko,Germany,0,0,0.0,2,0,0,0
Youssef Msakni,Tunisia,9,0,0.642520471,70,0,0,0
Abdou Diallo,Senegal,1,0,0.035411544,183,0,0,0
Youri Tielemans,Belgium,0,0,0.0,61,0,0,0
Agustín Canobbio Graviz,Uruguay,0,0,0.0,7,0,0,0
Abolfazl Jalali,Iran,0,0,0.0,29,0,1,0
Abdulrahman Al-Obood,Saudi Arabia,1,0,0.041744728,13,0,0,0
Abdullah Mohammed Madu,Saudi Arabia,0,0,0.0,11,0,1,0
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,2,0,0.13939861,86,0,1,0
Abdulelah Al Amri,Saudi Arabia,1,0,0.037819926,101,0,2,0
Abdulaziz Hatem Mohammed Abdullah,Qatar,1,0,0.024495702,91,0,0,0
Abdul Rahman Baba,Ghana,0,0,0.0,103,0,0,0
Abderrazak Hamdallah,Morocco,2,0,0.542996504,16,0,0,0
Woo-Young Jung,South Korea,1,0,0.010946972,208,0,2,0
Woo-Yeong Jeong,South Korea,1,0,0.03008143,16,0,0,0
Wojciech Szczęsny,Poland,0,0,0.0,146,0,0,0
Yannick Ferreira Carrasco,Belgium,4,0,0.202310031,46,0,1,0
Yann Sommer,Switzerland,0,0,0.0,117,0,0,0
Yahya Jabrane,Morocco,0,0,0.0,4,0,0,0
Yahia Attiyat allah,Morocco,2,0,0.331586645,138,1,0,0
Xavi Simons,Netherlands,0,0,0.0,10,0,0,0
Akram Hassan Afif,Qatar,2,0,0.029100373,166,0,1,0
Ajdin Hrustic,Australia,1,0,0.033247408,23,0,0,0
Ahmed Alaa Eldin Abdelmotaal,Qatar,0,0,0.0,2,0,0,0
Ahmad Nourollahi,Iran,5,0,0.0804267816,55,0,0,0
Éder Gabriel Militão,Brazil,5,0,0.258765465,277,0,1,0
Ángel Martín Correa,Argentina,0,0,0.0,4,0,0,0
Álvaro José Zamora Mata,Costa Rica,0,0,0.0,5,0,0,0
Yuto Nagatomo,Japan,0,0,0.0,108,0,0,0
Yunus Dimoara Musah,United States,4,0,0.197483729,182,0,0,0
Yuki Soma,Japan,3,0,0.13489698,20,0,0,0
Youstin Delfin Salas Gómez,Costa Rica,0,0,0.0,18,0,0,0
